	Age	Current Position	Name	Price	Shares Traded	Since	symbol
5	60.0	Executive Vice President - Human Resources	Stephen Fussell			2013.0	ABT.N
6	61.0	Senior Vice President - Core Laboratory Diagnostics, Commercial Operations	Jaime Contreras			2013.0	ABT.N
7	57.0	Senior Vice President, Group President - Cardiovascular and Neuromodulation	Eric Fain			2017.0	ABT.N
8	39.0	Senior Vice President - Established Pharmaceuticals, Latin America.	Daniel Salvadori			2014.0	ABT.N
9	70.0	Lead Independent Director	William Osborn			2013.0	ABT.N
10	57.0	Director	John Stratton			2017.0	ABT.N
11	67.0	Independent Director	Robert Alpern			2008.0	ABT.N
12	57.0	Independent Director	Roxanne Austin			2000.0	ABT.N
13	56.0	Independent Director	Sally Blount			2011.0	ABT.N
14	72.0	Independent Director	Edward Liddy			2010.0	ABT.N
15	59.0	Independent Director	Nancy McKinstry			2011.0	ABT.N
16	60.0	Independent Director	Phebe Novakovic			2010.0	ABT.N
17	73.0	Independent Director	Samuel Scott			2007.0	ABT.N
18	63.0	Independent Director	Daniel Starks			2017.0	ABT.N
19	69.0	Independent Director	Glenn Tilton			2007.0	ABT.N
0	64.0	Chairman of the Board, Chief Executive Officer	Richard Gonzalez			2013.0	ABBV.N
1	48.0	Chief Financial Officer, Senior Vice President	Robert Michael			2018.0	ABBV.N
2	50.0	Executive Vice President - Finance and Administration	William Chase			2018.0	ABBV.N
3	52.0	Executive Vice President - Research & Development, Chief Scientific Officer	Michael Severino			2014.0	ABBV.N
4	54.0	Executive Vice President, External Affairs, General Counsel and Corporate Secretary	Laura Schumacher			2013.0	ABBV.N
5	55.0	Executive Vice President - Commercial Operations	Carlos Alban			2013.0	ABBV.N
6	45.0	Executive Vice President, Chief Strategy Officer	Henry Gosebruch			2015.0	ABBV.N
7	51.0	Senior Vice President - Human Resources	Timothy Richmond			2013.0	ABBV.N
8	54.0	Senior Vice President - Operations	Azita Saleki-Gerhardt			2013.0	ABBV.N
9	58.0	Vice President, Controller	Brian Durkin			2018.0	ABBV.N
10	67.0	Independent Director	Robert Alpern			2013.0	ABBV.N
11	57.0	Independent Director	Roxanne Austin			2013.0	ABBV.N
12	66.0	Independent Director	William Burnside			2013.0	ABBV.N
13	48.0	Independent Director	Brett Hart			2016.0	ABBV.N
14	72.0	Independent Director	Edward Liddy			2013.0	ABBV.N
15	60.0	Independent Director	Melody Meyer			2017.0	ABBV.N
16	60.0	Independent Director	Edward Rapp			2013.0	ABBV.N
17	69.0	Lead Independent Director	Glenn Tilton			2013.0	ABBV.N
18	64.0	Independent Director	Frederick Waddell			2013.0	ABBV.N
0	51.0	Chairman of the Board, President, Chief Executive Officer	Michael Minogue			2005.0	ABMD.OQ
1	47.0	Chief Financial Officer, Vice President	Todd Trapp			2018.0	ABMD.OQ
2	56.0	Chief Operating Officer	David Weber			2007.0	ABMD.OQ
3	66.0	Senior Vice President, Global Quality, Regulatory and Clinical Operations	William Bolt			2015.0	ABMD.OQ
4		Principal Accounting Officer, Vice President, Controller	Ian McLeod			2018.0	ABMD.OQ
5	45.0	Vice President, General Manager - Global Marketing	Andrew Greenfield			2014.0	ABMD.OQ
6	54.0	Vice President, General Manager - Global Sales and Marketing	Michael Howley			2009.0	ABMD.OQ
7	66.0	Lead Independent Director	Dorothy Puhy			2005.0	ABMD.OQ
8	70.0	Independent Director	Jeannine Rivet			2016.0	ABMD.OQ
9	68.0	Independent Director	Eric Rose			2014.0	ABMD.OQ
10	63.0	Independent Director	Martin Sutter			2008.0	ABMD.OQ
11	62.0	Independent Director	Paul Thomas			2011.0	ABMD.OQ
12	65.0	Independent Director	Christopher Van Gorder			2016.0	ABMD.OQ
0	58.0	Chairman of the Board, Chief Executive Officer	Pierre Nanterme			2013.0	ACN.N
1	56.0	Chief Financial Officer	David Rowland			2013.0	ACN.N
2	50.0	Group Chief Executive - Communications, Media & Technology Operating Group	Omar Abbosh			2018.0	ACN.N
3	58.0	Group Chief Executive - Growth Markets	Gianfranco Casati			2014.0	ACN.N
4	53.0	Group Chief Executive - Health & Public Service Operating Group	Daniel London			2014.0	ACN.N
5	56.0	Group Chief Executive - Financial Services Operating Group	Richard Lumb			2010.0	ACN.N
6	55.0	Group Chief Executive - Resources Operating Group	Jean-Marc Ollagnier			2011.0	ACN.N
7	50.0	Chief Executive - North America	Julie Sweet			2015.0	ACN.N
8	54.0	Group Chief Executive - Products Operating Group	Alexander van't Noordende			2014.0	ACN.N
9	55.0	Chief Operating Officer, Chief Executive - Europe	Johan Deblaere			2014.0	ACN.N
10	54.0	Chief Human Resource Officer, Chief Leadership Officer	Ellyn Shook			2015.0	ACN.N
11	56.0	Chief Accounting Officer, Corporate Controller	Richard Clark			2013.0	ACN.N
12	50.0	Chief Compliance Officer, General Counsel	Chad Jerdee			2015.0	ACN.N
13		Chief Strategy Officer	Gene Reznik			2018.0	ACN.N
14	68.0	Lead Independent Director	Marjorie Magner			2014.0	ACN.N
15	62.0	Independent Director	Jaime Ardila			2013.0	ACN.N
16	60.0	Independent Director	Charles Giancarlo			2008.0	ACN.N
17	64.0	Independent Director	Herbert Hainer			2016.0	ACN.N
18	59.0	Independent Director	Nancy McKinstry			2016.0	ACN.N
19	61.0	Independent Director	Gilles Pelisson			2012.0	ACN.N
20	56.0	Independent Director	Paula Price			2014.0	ACN.N
21	52.0	Independent Director	Venkata Renduchintala			2018.0	ACN.N
22	63.0	Independent Director	Arun Sarin			2015.0	ACN.N
23	49.0	Independent Director	Frank Tang			2014.0	ACN.N
24	55.0	Independent Director	Tracey Travis			2017.0	ACN.N
25		Senior Manager, Investor Relations	Mark Broek			2017.0	ACN.N
0	55.0	Chairman of the Board	Brian Kelly			2013.0	ATVI.OQ
1	41.0	President, Chief Operating Officer	Collister Johnson			2017.0	ATVI.OQ
2	55.0	Chief Executive Officer, Executive Director	Robert Kotick			2017.0	ATVI.OQ
3	48.0	Chief Financial Officer	Spencer Neumann			2017.0	ATVI.OQ
4		President of Blizzard Entertainment, Inc	J. Allen Brack			2018.0	ATVI.OQ
5	49.0	President and Chief Executive Officer of Activision	Eric Hirshberg			2010.0	ATVI.OQ
6	50.0	Chief Executive Officer of King Digital Entertainment Limited	Riccardo Zacconi			2016.0	ATVI.OQ
7		Senior Vice President	Allen Adham			2018.0	ATVI.OQ
8		Senior Vice President, Chief Communications Officer	Kristin Binns			2018.0	ATVI.OQ
9		Chief Marketing Officer	Daniel Cherry			2018.0	ATVI.OQ
10		Vice President - Finance and Strategy	Marc Kolin			2018.0	ATVI.OQ
11	47.0	Chief Corporate Officer	Dennis Durkin			2017.0	ATVI.OQ
12		Chief Development Officer	Ray Gresko			2018.0	ATVI.OQ
13		Chief Revenue Officer	Brandon Snow			2018.0	ATVI.OQ
14	42.0	Chief People Officer	Brian Stolz			2016.0	ATVI.OQ
15	51.0	Chief Legal Officer	Christopher Walther			2011.0	ATVI.OQ
16	69.0	Independent Director	Reveta Bowers			2018.0	ATVI.OQ
17	68.0	Independent Director	Robert Corti			2003.0	ATVI.OQ
18	51.0	Independent Director	Hendrik Hartong			2015.0	ATVI.OQ
19	74.0	Independent Director	Barry Meyer			2014.0	ATVI.OQ
20	75.0	Independent Director	Robert Morgado			1997.0	ATVI.OQ
21	59.0	Independent Director	Peter Nolan			2013.0	ATVI.OQ
22	43.0	Independent Director	Casey Wasserman			2015.0	ATVI.OQ
23	76.0	Independent Director	Elaine Wynn			2013.0	ATVI.OQ
0	59.0	Non-Executive Chairman of the Board	Frederick Henderson			2018.0	ADNT.N
1	56.0	President, Chief Executive Officer, Director	Douglas DelGrosso			2018.0	ADNT.N
2	47.0	Chief Financial Officer, Executive Vice President	Jeffrey Stafeil			2016.0	ADNT.N
3	59.0	Chief Human Resource Officer, Executive Vice President	Neil Marchuk			2016.0	ADNT.N
4	48.0	Executive Vice President	Byron Foster			2016.0	ADNT.N
5	54.0	Vice President, General Counsel, Secretary	Cathleen Ebacher			2016.0	ADNT.N
6	47.0	Vice President, Corporate Controller	Mark Skonieczny			2016.0	ADNT.N
7	71.0	Director	John Barth			2018.0	ADNT.N
8	56.0	Independent Director	Julie Bushman			2016.0	ADNT.N
9	45.0	Independent Director	Peter Carlin			2018.0	ADNT.N
10	62.0	Independent Director	Raymond Conner			2016.0	ADNT.N
11	69.0	Independent Director	Richard Goodman			2016.0	ADNT.N
12	60.0	Independent Director	Barbara Samardzich			2016.0	ADNT.N
0	54.0	Chairman of the Board, President, Chief Executive Officer	Shantanu Narayen			2017.0	ADBE.OQ
1	60.0	Chief Financial Officer, Executive Vice President	Mark Garrett			2017.0	ADBE.OQ
2	43.0	Executive Vice President, Chief Technology Officer	Abhay Parasnis			2016.0	ADBE.OQ
3	56.0	Executive Vice President, Chief Marketing Officer	Ann Lewnes			2016.0	ADBE.OQ
4		Executive Vice President, General Counsel	Dana Rao			2018.0	ADBE.OQ
5	57.0	Executive Vice President, General Manager - Digital Media	Bryan Lamkin			2015.0	ADBE.OQ
6	44.0	Executive Vice President, General Manager - Digital Experience	Bradley Rencher			2017.0	ADBE.OQ
7	37.0	Chief Product Officer - Creative Cloud and Executive Vice President	Scott Belsky			2017.0	ADBE.OQ
8	50.0	Executive Vice President - Customer and Employee Experience	Donna Morris			2016.0	ADBE.OQ
9	59.0	Executive Vice President - Worldwide Field Operations	Matthew Thompson			2013.0	ADBE.OQ
10	49.0	Interim Principal Accounting Officer	John Murphy			2018.0	ADBE.OQ
11	50.0	Director	David Ricks			2018.0	ADBE.OQ
12	59.0	Independent Director	Amy Banse			2012.0	ADBE.OQ
13	74.0	Independent Director	Edward Barnholt			2005.0	ADBE.OQ
14	60.0	Independent Director	Robert Burgess			2005.0	ADBE.OQ
15	60.0	Independent Director	Frank Calderoni			2012.0	ADBE.OQ
16	52.0	Independent Director	Laura Desmond			2012.0	ADBE.OQ
17	78.0	Independent Director	Charles Geschke			2017.0	ADBE.OQ
18	56.0	Independent Director	Daniel Rosensweig			2009.0	ADBE.OQ
19	77.0	Independent Director	John Warnock			2017.0	ADBE.OQ
0	68.0	Independent Chairman of the Board	John Caldwell			2017.0	AMD.OQ
1	48.0	President, Chief Executive Officer, Director	Lisa Su			2014.0	AMD.OQ
2	62.0	Chief Financial Officer, Senior Vice President, Treasurer	Devinder Kumar			2015.0	AMD.OQ
3	56.0	Chief Technology Officer, Senior Vice President - Technology and Engineering	Mark Papermaster			2013.0	AMD.OQ
4	55.0	Senior Vice President, General Counsel, Secretary	Harry Wolin			2010.0	AMD.OQ
5	52.0	Senior Vice President, General Manager, Datacenter and Embedded Solutions Business Group	Forrest Norrod			2017.0	AMD.OQ
6		Senior Vice President, General Manager AMD Radeon Technologies Group	Mike Rayfield			2018.0	AMD.OQ
7		Senior Vice President - Engineering, Radeon Technologies Group	David Wang			2018.0	AMD.OQ
8	45.0	Director	Ahmed Yahia			2017.0	AMD.OQ
9	56.0	Independent Director	Nora Denzel			2014.0	AMD.OQ
10	57.0	Independent Director	Mark Durcan			2017.0	AMD.OQ
11	63.0	Independent Director	Joseph Householder			2014.0	AMD.OQ
12	58.0	Independent Director	Michael Inglis			2014.0	AMD.OQ
13	55.0	Independent Director	John Marren			2017.0	AMD.OQ
14	54.0	Independent Director	Abhijit Talwalkar			2017.0	AMD.OQ
0	45.0	Independent Chairman of the Board	Jeffrey Smith			2016.0	AAP.N
1	59.0	President, Chief Executive Officer, Director	Thomas Greco			2016.0	AAP.N
2	46.0	Chief Financial Officer, Executive Vice President, Chief Accounting Officer, Controller, Principal Accounting Officer	Jeffrey Shepherd			2018.0	AAP.N
3	51.0	Executive Vice President, General Counsel, Corporate Secretary	Tammy Finley			2016.0	AAP.N
4	56.0	Executive Vice President, Merchandising, Marketing and Replenishment	Charles Tyson			2016.0	AAP.N
5	64.0	Executive Vice President, Professional	Robert Cushing			2016.0	AAP.N
6	55.0	Executive Vice President - Supply Chain	Reuben Slone			2018.0	AAP.N
7	47.0	Senior Vice President of Human Resources	Natalie Schechtman			2016.0	AAP.N
8	71.0	Independent Director	John Bergstrom			2008.0	AAP.N
9	54.0	Independent Director	Bradley Buss			2016.0	AAP.N
10	52.0	Independent Director	Fiona Dias			2009.0	AAP.N
11	62.0	Independent Director	John Ferraro			2016.0	AAP.N
12		Independent Director	Adriana Karaboutis			2015.0	AAP.N
13	57.0	Independent Director	Eugene Lee			2015.0	AAP.N
14	63.0	Independent Director	Douglas Pertz			2018.0	AAP.N
15		Independent Director	Nigel Travis			2018.0	AAP.N
0	71.0	Chairman of the Board, Lead Independent Director	John Morse			2018.0	AES.N
1	60.0	President, Chief Executive Officer, Director	Andres Gluski Weilert			2011.0	AES.N
2	58.0	Chief Financial Officer, Executive Vice President	Thomas O'Flynn			2012.0	AES.N
3	54.0	Chief Operating Officer, Executive Vice President	Bernerd da Santos			2017.0	AES.N
4	42.0	Chief Human Resource Officer, Senior Vice President - Global Human Resources and Internal Communications	Letitia Mendoza			2015.0	AES.N
5	47.0	Senior Vice President, General Counsel	Paul Freedman			2018.0	AES.N
6	59.0	Independent Director	Charles Harrington			2013.0	AES.N
7	60.0	Independent Director	Kristina Johnson			2011.0	AES.N
8	51.0	Independent Director	Tarun Khanna			2009.0	AES.N
9	59.0	Independent Director	Holly Koeppel			2015.0	AES.N
10	69.0	Independent Director	James Miller			2013.0	AES.N
11	67.0	Independent Director	Alain Monie			2017.0	AES.N
12	66.0	Independent Director	Molses Naim			2013.0	AES.N
13	56.0	Independent Director	Jeffrey Ubben			2018.0	AES.N
14		Vice President - Investor Relations	Ahmed Pasha				AES.N
0	56.0	Executive Chairman of the Board	Sean Healey			2018.0	AMG.N
1	51.0	President, Chief Executive Officer, Chief Operating Officer, Director	Nathaniel Dalton			2018.0	AMG.N
2	47.0	Chief Financial Officer, Treasurer	Jay Horgen			2011.0	AMG.N
3	55.0	General Counsel, Secretary	David Billings			2014.0	AMG.N
4	45.0	Head of Global Distribution	Hugh Cutler			2017.0	AMG.N
5	59.0	Lead Independent Director	Patrick Ryan			2015.0	AMG.N
6	56.0	Director	Karen Yerburgh			2018.0	AMG.N
7	53.0	Independent Director	Samuel Byrne			2009.0	AMG.N
8	64.0	Independent Director	Dwight Churchill			2010.0	AMG.N
9	60.0	Independent Director	Glenn Earle			2015.0	AMG.N
10	53.0	Independent Director	Niall Ferguson			2014.0	AMG.N
11	47.0	Independent Director	Tracy Palandjian			2012.0	AMG.N
12	54.0	Independent Director	Jide Zeitlin			2006.0	AMG.N
0	67.0	Chairman of the Board, President, Chief Executive Officer	Daniel Amos			2018.0	AFL.N
1	54.0	Chief Financial Officer, Executive Vice President	Frederick Crawford			2015.0	AFL.N
2	42.0	President of Aflac, Director	Paul Amos			2007.0	AFL.N
3	56.0	President of Aflac International	Charles Lake			2014.0	AFL.N
4	51.0	President of Aflac U.S.	Teresa White			2014.0	AFL.N
5	67.0	President and Chief Operating Officer of Aflac Japan	Hiroshi Yamauchi			2015.0	AFL.N
6	59.0	Executive Vice President - Corporate Finance and Development, Treasurer	Kenneth Janke			2015.0	AFL.N
7	53.0	Executive Vice President, General Counsel, Aflac Incorporated and Aflac	Audrey Tillman			2014.0	AFL.N
8	64.0	Executive Vice President, Director - Marketing and Sales of Aflac Japan	Koji Ariyoshi			2012.0	AFL.N
9	47.0	Executive Vice President and Principal Financial Officer - Aflac Japan	J. Todd Daniels			2018.0	AFL.N
10	57.0	Executive Vice President, Global Chief Investment Officer, Aflac and President of Aflac Asset Management LLC	Eric Kirsch			2018.0	AFL.N
11		Executive Vice President And Chief Distribution Officer	Rich Williams			2017.0	AFL.N
12	51.0	Chief Accounting Officer, Senior Vice President - Financial Services,	June Howard			2015.0	AFL.N
13	62.0	Senior Vice President - Global, Chief Risk Officer and Chief Actuary	Albert Riggieri			2018.0	AFL.N
14		Senior Vice President - Strategic Growth	Robert Ruff			2018.0	AFL.N
15		Senior Vice President - Aflac U.S. Broker Sales	Stephanie Shields			2018.0	AFL.N
16	54.0	Director	Thomas Kenny			2015.0	AFL.N
17	64.0	Director	Katherine Rohrer			2017.0	AFL.N
18	61.0	Independent Director	W. Paul Bowers			2013.0	AFL.N
19	61.0	Independent Director	Toshihiko Fukuzawa			2016.0	AFL.N
20	68.0	Independent Director	Elizabeth Hudson			1990.0	AFL.N
21	74.0	Independent Director	Douglas Johnson			2004.0	AFL.N
22	73.0	Independent Director	Robert Johnson			2002.0	AFL.N
23	71.0	Independent Director	Charles Knapp			1990.0	AFL.N
24	59.0	Independent Director	Karole Lloyd			2017.0	AFL.N
25	64.0	Independent Director	Joseph Moskowitz			2015.0	AFL.N
26	69.0	Independent Director	Barbara Rimer			1995.0	AFL.N
27	71.0	Independent Director	Melvin Stith			2012.0	AFL.N
0	68.0	Independent Chairman of the Board	Boon Hwee Koh			2017.0	A.N
1	56.0	President, Chief Executive Officer, Director	Michael McMullen			2015.0	A.N
2	50.0	Chief Financial Officer, Senior Vice President	Robert McMahon			2018.0	A.N
3	42.0	President of Agilent's Life Sciences and Applied Markets Group	Jacob Thaysen			2018.0	A.N
4	43.0	Senior Vice President, General Counsel, Secretary	Michael Tang			2016.0	A.N
5	58.0	Senior Vice President - Human Resources	Dominique Grau			2014.0	A.N
6	52.0	Senior Vice President, President - Order Fulfillment	Henrik Ancher-Jensen			2013.0	A.N
7	62.0	Senior Vice President, President - Agilent CrossLab Group	Mark Doak			2014.0	A.N
8	52.0	Chief Accounting Officer, Vice President, Corporate Controllership	Rodney Gonsalves			2015.0	A.N
9	54.0	Independent Director	Hans Bishop			2017.0	A.N
10	70.0	Independent Director	Paul Clark			2006.0	A.N
11	63.0	Independent Director	Heidi Kunz			2000.0	A.N
12	64.0	Independent Director	Daniel Podolsky			2015.0	A.N
13	61.0	Independent Director	Sue Rataj			2015.0	A.N
14	69.0	Independent Director	George Scangos			2014.0	A.N
15	58.0	Independent Director	Dow Wilson			2018.0	A.N
16	72.0	Independent Director	Tadataka Yamada			2011.0	A.N
17		Vice President - Investor Relations	Alicia Rodriguez				A.N
0	73.0	Chairman of the Board, President, Chief Executive Officer	Seifollah Ghasemi			2014.0	APD.N
1	53.0	Chief Financial Officer, Executive Vice President	Michael Crocco			2016.0	APD.N
2		Chief Human Resource Officer, Senior Vice President	Victoria Brifo			2018.0	APD.N
3	53.0	Executive Vice President, General Counsel	Sean Major			2017.0	APD.N
4	56.0	Executive Vice President	Samir Serhan			2016.0	APD.N
5	48.0	Principal Accounting Officer, Vice President, Corporate Controller	Russell Flugel			2015.0	APD.N
6	65.0	Lead Independent Director	Chadwick Deaton			2014.0	APD.N
7	59.0	Independent Director	Susan Carter			2011.0	APD.N
8	71.0	Independent Director	Charles Cogut			2015.0	APD.N
9	58.0	Independent Director	Hing-Yuen Ho			2013.0	APD.N
10	58.0	Independent Director	Margaret McGlynn			2005.0	APD.N
11	68.0	Independent Director	Edward Monser			2013.0	APD.N
12	66.0	Independent Director	Matthew Paull			2013.0	APD.N
13		IR Contact Officer	Simon Moore			2017.0	APD.N
0	74.0	Chairman of the Board	Frederic Salerno			2018.0	AKAM.OQ
1	52.0	President, General Manager- Web Division	Rick McConnell			2016.0	AKAM.OQ
2	61.0	Chief Executive Officer, Director	F. Thomson Leighton			2016.0	AKAM.OQ
3	51.0	Chief Financial Officer, Chief Accounting Officer	James Benson			2012.0	AKAM.OQ
4	57.0	Executive Vice President, Chief Human Resource Officer	James Gemmell			2015.0	AKAM.OQ
5	57.0	Executive Vice President, General Counsel	Melanie Haratunian			2013.0	AKAM.OQ
6	53.0	Executive Vice President – Platform and General Manager Enterprise Division	Robert Blumofe			2017.0	AKAM.OQ
7	46.0	Executive Vice President, General Manager - Media and Carrier Divisions	Adam Karon				AKAM.OQ
8	56.0	Executive Vice President and Chief Strategy Officer	William Wheaton			2017.0	AKAM.OQ
9	54.0	Senior Vice President, Chief Information Officer	Fariborz Ebrahimi			2018.0	AKAM.OQ
10	48.0	Senior Vice President, General Counsel	Aaron Ahola				AKAM.OQ
11		Senior Vice President - Global Web Sales	Scott Lovett			2018.0	AKAM.OQ
12	50.0	Director	Peter Killalea			2018.0	AKAM.OQ
13	59.0	Director	Paul Sagan			2015.0	AKAM.OQ
14	61.0	Independent Director	Pamela Craig			2011.0	AKAM.OQ
15	59.0	Independent Director	Monte Ford			2013.0	AKAM.OQ
16	61.0	Independent Director	Jill Greenthal			2007.0	AKAM.OQ
17	64.0	Independent Director	Daniel Hesse			2016.0	AKAM.OQ
18	61.0	Independent Director	Jonathan Miller			2015.0	AKAM.OQ
19	79.0	Independent Director	Naomi Seligman			2001.0	AKAM.OQ
20	65.0	Independent Director	Bernardus Verwaayen			2013.0	AKAM.OQ
21	51.0	Independent Director	William Wagner			2018.0	AKAM.OQ
22		Head - Investor Relations	Tom Barth			2013.0	AKAM.OQ
0	57.0	Chairman of the Board	Bradley Tilden			2018.0	ALK.N
1	70.0	President, Chief Executive Officer	Gary Beck			2018.0	ALK.N
2	51.0	Executive Vice President - Finance, Chief Financial Officer	Brandon Pedersen			2014.0	ALK.N
3	51.0	President, Chief Operating Officer of Alaska Airlines, Inc.; Chief Executive Officer of Virgin America Inc.	Benito Minicucci			2016.0	ALK.N
4	47.0	Executive Vice President,Chief Commercial Officer	Andrew Harrison			2015.0	ALK.N
5	46.0	Vice President - Legal, General Counsel, Chief Ethics and Compliance Officer	Kyle Levine			2016.0	ALK.N
6	64.0	Lead Independent Director	Patricia Bedient			2016.0	ALK.N
7	57.0	Director	James Beer			2017.0	ALK.N
8	63.0	Director	Raymond Conner			2018.0	ALK.N
9	69.0	Independent Director	Marion Blakey			2010.0	ALK.N
10	66.0	Independent Director	Phyllis Campbell			2016.0	ALK.N
11	53.0	Independent Director	Dhiren Fonseca			2014.0	ALK.N
12	60.0	Independent Director	Helvi Sandvik			2013.0	ALK.N
13	66.0	Independent Director	James Thompson			1999.0	ALK.N
14	50.0	Independent Director	Eric Yeaman			2012.0	ALK.N
15		Investor Relations Officer	Matt Grady			2017.0	ALK.N
0	53.0	Chairman, President and Chief Executive Officer	Luther Kissam			2016.0	ALB.N
1	57.0	Chief Financial Officer, Executive Vice President	Scott Tozier			2016.0	ALB.N
2	58.0	Executive Vice President, Chief Administrative Officer	Karen Narwold			2016.0	ALB.N
3		Chief Technology Officer	Glen Merfeld			2018.0	ALB.N
4	51.0	Chief Accounting Officer, Vice President, Corporate Controller	Donald LaBauve			2014.0	ALB.N
5	51.0	Chief Strategy Officer	Eric Norris			2018.0	ALB.N
6	71.0	Lead Independent Director	Jimmy Nokes			2016.0	ALB.N
7	60.0	Director	Laurie Brlas			2017.0	ALB.N
8	69.0	Independent Director	William Hernandez			2011.0	ALB.N
9	69.0	Independent Director	Douglas Maine			2015.0	ALB.N
10	58.0	Independent Director	Jerry Masters			2015.0	ALB.N
11	63.0	Independent Director	James O'Brien			2012.0	ALB.N
12	72.0	Independent Director	Barry Perry			2010.0	ALB.N
13	57.0	Independent Director	Gerald Steiner			2013.0	ALB.N
14	70.0	Independent Director	Harriett Taggart			2007.0	ALB.N
15	61.0	Independent Director	Alejandro Wolff			2015.0	ALB.N
0	70.0	Executive Chairman of the Board	Joel Marcus			2018.0	ARE.N
1	51.0	Co-President, Chief Financial Officer	Dean Shigenaga			2018.0	ARE.N
2	58.0	Co-President, Regional Market Director – Greater Boston	Thomas Andrews			2018.0	ARE.N
